"","date","VHVV_ratio_hectareID_NA","VHVV_ratio_sd_hectareID_NA"
"1",2016-01-10,0.269518,0.108737
"2",2016-01-22,0.289014,0.109612
"3",2016-02-03,0.273366,0.116315
"4",2016-02-15,0.261703,0.105595
"5",2016-02-27,0.257763,0.107131
"6",2016-03-10,0.257729,0.104994
"7",2016-04-03,0.27337,0.106041
"8",2016-04-15,0.257758,0.09992
"9",2016-04-27,0.242128,0.099376
"10",2016-05-09,0.257716,0.100793
"11",2016-05-21,0.277335,0.103862
"12",2016-06-02,0.246072,0.097602
"13",2016-06-14,0.257735,0.100566
"14",2016-07-08,0.242111,0.097358
"15",2016-07-20,0.25776,0.104674
"16",2016-08-01,0.242114,0.096793
"17",2016-08-13,0.257713,0.102892
"18",2016-08-25,0.261708,0.102194
"19",2016-09-06,0.257752,0.101453
"20",2016-09-18,0.257758,0.107413
"21",2016-09-30,0.242115,0.09745
"22",2016-10-12,0.257714,0.101152
"23",2016-10-24,0.25388,0.102
"24",2016-11-05,0.261697,0.103419
"25",2016-11-17,0.285143,0.108806
"26",2016-11-29,0.257725,0.100323
"27",2016-12-11,0.253889,0.103383
"28",2016-12-23,0.25775,0.101549
"29",2017-01-04,0.257762,0.104389
"30",2017-01-16,0.257743,0.103359
"31",2017-01-28,0.257752,0.106178
"32",2017-02-09,0.289001,0.110505
"33",2017-02-21,0.277334,0.107269
"34",2017-03-05,0.242133,0.101195
"35",2017-03-17,0.288987,0.107132
"36",2017-03-29,0.273378,0.105189
"37",2017-04-10,0.253894,0.10148
"38",2017-04-22,0.238262,0.097287
"39",2017-05-04,0.273341,0.106273
"40",2017-05-16,0.242137,0.100612
"41",2017-05-28,0.257728,0.09769
"42",2017-06-09,0.242102,0.094041
"43",2017-06-21,0.230452,0.094422
"44",2017-07-03,0.269516,0.104814
"45",2017-07-15,0.2617,0.101436
"46",2017-07-27,0.238278,0.09408
"47",2017-08-08,0.230445,0.094494
"48",2017-08-20,0.226483,0.095178
"49",2017-09-01,0.238273,0.097201
"50",2017-09-13,0.242109,0.098391
"51",2017-09-25,0.24212,0.097805
"52",2017-10-07,0.242127,0.097141
"53",2017-10-19,0.238276,0.095769
"54",2017-10-31,0.242123,0.101285
"55",2017-11-12,0.257753,0.104148
"56",2017-11-24,0.24212,0.098763
"57",2017-12-06,0.257731,0.102558
"58",2017-12-18,0.273371,0.104647
"59",2017-12-30,0.242117,0.09744
"60",2018-01-11,0.257725,0.098334
"61",2018-01-23,0.242124,0.101828
"62",2018-02-04,0.273381,0.109012
"63",2018-02-16,0.242111,0.097477
"64",2018-02-28,0.242129,0.101591
"65",2018-03-12,0.257738,0.1073
"66",2018-03-24,0.273366,0.109189
"67",2018-04-05,0.242082,0.100491
"68",2018-04-17,0.257741,0.104559
"69",2018-04-29,0.242137,0.100226
"70",2018-05-11,0.246074,0.104825
"71",2018-05-23,0.246078,0.101324
"72",2018-06-04,0.25771,0.104175
"73",2018-06-16,0.230448,0.097103
"74",2018-06-28,0.226466,0.096251
"75",2018-07-10,0.222637,0.095746
"76",2018-07-22,0.23045,0.096032
"77",2018-08-03,0.22263,0.094643
"78",2018-08-15,0.22649,0.100538
"79",2018-08-27,0.222632,0.097617
"80",2018-09-08,0.238264,0.09708
"81",2018-09-20,0.2421,0.100814
"82",2018-10-02,0.226475,0.099668
"83",2018-10-14,0.242101,0.102142
"84",2018-10-26,0.261708,0.102515
"85",2018-11-07,0.261704,0.104019
"86",2018-11-19,0.242089,0.101232
"87",2018-12-01,0.242097,0.100778
"88",2018-12-13,0.242072,0.096844
"89",2018-12-25,0.242094,0.1007
"90",2019-01-06,0.242109,0.102661
"91",2019-01-18,0.238263,0.100106
"92",2019-01-30,0.253888,0.101854
"93",2019-02-11,0.2421,0.105084
"94",2019-02-23,0.242148,0.098824
"95",2019-03-07,0.222637,0.094734
"96",2019-03-19,0.226483,0.101582
"97",2019-03-31,0.242089,0.097056
"98",2019-04-12,0.242114,0.099185
"99",2019-04-24,0.2421,0.095688
"100",2019-05-06,0.246074,0.098088
"101",2019-05-18,0.226512,0.097606
"102",2019-05-30,0.226464,0.093107
"103",2019-06-11,0.246088,0.100586
"104",2019-06-23,0.242099,0.099988
"105",2019-07-05,0.210839,0.089828
"106",2019-07-17,0.207011,0.08957
"107",2019-07-29,0.242083,0.097255
"108",2019-08-10,0.226461,0.093726
"109",2019-08-22,0.238259,0.09758
"110",2019-09-03,0.214823,0.090799
"111",2019-09-15,0.210849,0.088979
"112",2019-09-27,0.230441,0.094357
"113",2019-10-09,0.22263,0.093145
"114",2019-10-21,0.210864,0.092178
"115",2019-11-02,0.238266,0.095356
"116",2019-11-14,0.238264,0.096516
"117",2019-11-26,0.238267,0.097409
"118",2019-12-08,0.257725,0.100763
"119",2019-12-20,0.22645,0.094485
"120",2020-01-01,0.246077,0.098102
"121",2020-01-13,0.226459,0.095346
"122",2020-02-06,0.230459,0.097451
"123",2020-02-18,0.226477,0.097159
"124",2020-03-01,0.226479,0.094744
"125",2020-03-13,0.24607,0.098894
"126",2020-03-25,0.226474,0.093209
"127",2020-04-06,0.230452,0.094148
"128",2020-04-18,0.242094,0.098993
"129",2020-04-30,0.21085,0.090589
"130",2020-05-12,0.21087,0.092017
"131",2020-05-24,0.21483,0.088241
"132",2020-06-05,0.214807,0.092489
"133",2020-06-17,0.242083,0.09727
"134",2020-06-29,0.210889,0.093132
"135",2020-07-11,0.214808,0.091005
"136",2020-07-23,0.214812,0.093138
"137",2020-08-04,0.230435,0.096955
"138",2020-08-16,0.214815,0.089941
"139",2020-08-28,0.230457,0.095755
"140",2020-09-09,0,0.082706
"141",2020-09-21,0.230433,0.102542
"142",2020-10-15,0.226479,0.100658
"143",2020-10-27,0.238252,0.103253
"144",2020-11-08,0.238264,0.102266
"145",2020-11-20,0.246063,0.097914
"146",2020-12-02,0.222643,0.092054
"147",2020-12-14,0.222631,0.091845
"148",2020-12-26,0.238273,0.097413
"149",2021-01-07,0.22647,0.096
"150",2021-01-19,0.226436,0.094506
"151",2021-01-31,0.22646,0.095335
"152",2021-02-12,0.214801,0.093873
"153",2021-02-24,0.210848,0.090525
"154",2021-03-08,0.226477,0.097387
"155",2021-03-20,0.222642,0.092465
"156",2021-04-01,0.210872,0.092925
"157",2021-04-13,0.21085,0.088536
"158",2021-04-25,0.214819,0.089575
"159",2021-05-07,0.222638,0.091358
"160",2021-08-23,0.226513,0.092095
"161",2021-09-04,0.214809,0.089312
"162",2021-09-16,0.21085,0.089584
"163",2021-09-28,0.230437,0.095095
"164",2021-10-10,0.242124,0.097938
"165",2021-10-22,0.238261,0.094046
"166",2021-11-03,0.238239,0.094197
"167",2021-11-15,0.242104,0.096638
"168",2021-11-27,0.22646,0.093403
"169",2021-12-09,0.242134,0.099672
"170",2021-12-21,0.242109,0.099042
